Question,Answer
What was the company’s total revenue for Q3 2024?,"The company’s total revenue for Q3 2024 was $165.53 million, representing an 8.6% increase from Q3 2023."
What was the year-to-date revenue growth in 2024 compared to 2023?,The year-to-date revenue growth in 2024 was 7.2% compared to 2023.
What was the rental income for Q3 2024?,The rental income for Q3 2024 was $161.78 million.
What were the operating expenses for Q3 2024?,"The operating expenses for Q3 2024 were $126.54 million, up from $112.39 million in Q3 2023."
What was the net income attributable to stockholders in Q3 2024?,The net income attributable to stockholders in Q3 2024 was $11.60 million.
What was the EPS for Q3 2024?,The EPS for Q3 2024 was $0.09.
What was the comprehensive income attributable to stockholders in Q3 2024?,The comprehensive income attributable to stockholders in Q3 2024 was $2.15 million after unrealized derivative losses.
What was the net income margin for Q3 2024?,The net income margin for Q3 2024 was approximately 7.0% of total revenues.
"What were the total assets as of September 30, 2024?","The total assets as of September 30, 2024, were $4.95 billion."
"What was the cash and equivalents as of September 30, 2024?","The cash and equivalents as of September 30, 2024, were $6.45 million."
"What was the total debt obligations as of September 30, 2024?","The total debt obligations as of September 30, 2024, were $2.10 billion."
"What was the stockholders’ equity as of September 30, 2024?","The stockholders’ equity as of September 30, 2024, was $2.25 billion."
"What was the debt-to-equity ratio as of September 30, 2024?","The debt-to-equity ratio as of September 30, 2024, was approximately 0.93."
"What was the equity ratio as of September 30, 2024?","The equity ratio as of September 30, 2024, was approximately 46%. "
What was the net cash from operations year-to-date as of Q3 2024?,The net cash from operations year-to-date as of Q3 2024 was $250.71 million.
What was the depreciation and amortization year-to-date as of Q3 2024?,The depreciation and amortization year-to-date as of Q3 2024 was $189.71 million.
What was the straight-line rent adjustment year-to-date as of Q3 2024?,The straight-line rent adjustment year-to-date as of Q3 2024 was $(6.59 million).
What was the share-based compensation year-to-date as of Q3 2024?,The share-based compensation year-to-date as of Q3 2024 was $6.98 million.
What was the net cash used in investing activities year-to-date as of Q3 2024?,The net cash used in investing activities year-to-date as of Q3 2024 was $259.62 million.
What was the net cash from financing activities year-to-date as of Q3 2024?,The net cash from financing activities year-to-date as of Q3 2024 was $9.37 million.
"What was the ending cash and restricted cash as of September 30, 2024?","The ending cash and restricted cash as of September 30, 2024, were $9.33 million."
"How many wholly-owned properties did the company have as of September 30, 2024?","The company had 290 wholly-owned properties as of September 30, 2024."
"What was the future contractual rent as of September 30, 2024?","The future contractual rent as of September 30, 2024, was $2.34 billion."
"What was the geographic concentration risk as of September 30, 2024?","The geographic concentration risk as of September 30, 2024, was highest in Florida (12.2%) and California (10.9%) based on ABR."
"What was the average lease term remaining as of September 30, 2024?","The average lease term remaining as of September 30, 2024, was approximately 7 years."
"What was the occupancy rate as of September 30, 2024?","The occupancy rate as of September 30, 2024, remained strong."
"What was the total debt as of September 30, 2024?","The total debt as of September 30, 2024, was $2.10 billion."
"What was the weighted average interest rate on debt as of September 30, 2024?","The weighted average interest rate on debt as of September 30, 2024, was 4.4%. "
"What was the fixed-rate debt as of September 30, 2024?","The fixed-rate debt as of September 30, 2024, was $1.99 billion."
"What was the variable-rate debt as of September 30, 2024?","The variable-rate debt as of September 30, 2024, was $145.75 million."
"What was the secured debt as of September 30, 2024?","The secured debt as of September 30, 2024, was $463.25 million."
"What was the unsecured debt as of September 30, 2024?","The unsecured debt as of September 30, 2024, was $1.67 billion."
"What was the revolving credit facility balance as of September 30, 2024?","The revolving credit facility balance as of September 30, 2024, was $36.0 million."
"What was the stockholders’ equity as of September 30, 2024?","The stockholders’ equity as of September 30, 2024, was $2.25 billion."
"What was the noncontrolling interests as of September 30, 2024?","The noncontrolling interests as of September 30, 2024, were $329.82 million."
"What was the monthly dividend per share as of September 30, 2024?","The monthly dividend per share as of September 30, 2024, was $0.1025."
"What was the YTD dividends paid as of September 30, 2024?","The YTD dividends paid as of September 30, 2024, were $108.57 million."
"What was the number of common shares outstanding as of September 30, 2024?","The number of common shares outstanding as of September 30, 2024, was 122.62 million."
"What was the accumulated deficit as of September 30, 2024?","The accumulated deficit as of September 30, 2024, was $(1.31 billion)."
What was the total revenue for Q2 2025?,"The total revenue for Q2 2025 was $177.75 million, representing a 10.1% increase from Q2 2024."
What was the year-to-date revenue growth in 2025 compared to 2024?,The year-to-date revenue growth in 2025 was 10.3% compared to 2024.
What was the rental income for Q2 2025?,The rental income for Q2 2025 was $173.47 million.
What were the operating expenses for Q2 2025?,The operating expenses for Q2 2025 were $134.73 million.
What was the net income attributable to stockholders in Q2 2025?,The net income attributable to stockholders in Q2 2025 was $12.78 million.
What was the EPS for Q2 2025?,The EPS for Q2 2025 was $0.10.
What was the comprehensive income attributable to stockholders in Q2 2025?,The comprehensive income attributable to stockholders in Q2 2025 was $12.07 million after derivative fair value changes.
What was the net income margin for Q2 2025?,The net income margin for Q2 2025 was approximately 7.2% of total revenue.
"What were the total assets as of June 30, 2025?","The total assets as of June 30, 2025, were $5.27 billion."
"What was the cash and restricted cash as of June 30, 2025?","The cash and restricted cash as of June 30, 2025, were $9.33 million."
"What was the total debt obligations as of June 30, 2025?","The total debt obligations as of June 30, 2025, were $2.39 billion."
"What was the stockholders’ equity as of June 30, 2025?","The stockholders’ equity as of June 30, 2025, was $2.29 billion."
"What was the debt-to-equity ratio as of June 30, 2025?","The debt-to-equity ratio as of June 30, 2025, was approximately 0.93."
"What was the equity ratio as of June 30, 2025?","The equity ratio as of June 30, 2025, was approximately 49.3%. "
What was the net cash from operations year-to-date as of Q2 2025?,The net cash from operations year-to-date as of Q2 2025 was $156.66 million.
What was the depreciation and amortization year-to-date as of Q2 2025?,The depreciation and amortization year-to-date as of Q2 2025 was $135.70 million.
What was the straight-line rent adjustment year-to-date as of Q2 2025?,The straight-line rent adjustment year-to-date as of Q2 2025 was $(4.95 million).
What was the share-based compensation year-to-date as of Q2 2025?,The share-based compensation year-to-date as of Q2 2025 was $5.37 million.
What was the net cash used in investing activities year-to-date as of Q2 2025?,The net cash used in investing activities year-to-date as of Q2 2025 was $329.12 million.
What was the net cash from financing activities year-to-date as of Q2 2025?,The net cash from financing activities year-to-date as of Q2 2025 was $172.99 million.
"What was the ending cash and restricted cash as of June 30, 2025?","The ending cash and restricted cash as of June 30, 2025, were $9.33 million."
"How many wholly-owned properties did the company have as of June 30, 2025?","The company had 303 wholly-owned properties as of June 30, 2025."
"What was the future contractual rent as of June 30, 2025?","The future contractual rent as of June 30, 2025, was $2.51 billion."
"What was the geographic concentration risk as of June 30, 2025?","The geographic concentration risk as of June 30, 2025, was highest in Florida (11.7%), California (11.1%), and Texas (10.4%) based on ABR."
"What was the average lease term remaining as of June 30, 2025?","The average lease term remaining as of June 30, 2025, was approximately 7 years."
"What was the occupancy rate as of June 30, 2025?","The occupancy rate as of June 30, 2025, remained strong."
"What was the total debt as of June 30, 2025?","The total debt as of June 30, 2025, was $2.39 billion."
"What was the weighted average interest rate on debt as of June 30, 2025?","The weighted average interest rate on debt as of June 30, 2025, was 4.4%. "
"What was the fixed-rate debt as of June 30, 2025?","The fixed-rate debt as of June 30, 2025, was $2.30 billion."
"What was the variable-rate debt as of June 30, 2025?","The variable-rate debt as of June 30, 2025, was $120.75 million."
"What was the secured debt as of June 30, 2025?","The secured debt as of June 30, 2025, was $426.39 million."
"What was the unsecured debt as of June 30, 2025?","The unsecured debt as of June 30, 2025, was $1.99 billion."
"What was the revolving credit facility balance as of June 30, 2025?","The revolving credit facility balance as of June 30, 2025, was $1B."
